grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty
60729,28.855874,76.9159669,0,0,0.0,0.0,0.0,0.44,4.59,5.03,0,0.0,94.97
6075,28.4426509,77.0920165,92,7,14.84,1.42,16.259999999999998,0.0,12.85,12.85,0,0.0,70.89
3815,28.4264813,76.8504601,0,5,0.0,0.0,0.0,0.0,5.73,5.73,0,0.0,94.27
22020,28.5630246,77.0899694,3,0,1.55,0.0,1.55,0.0,0.0,0.0,0,0.0,98.45
13544,28.4983462,77.2783016,17,2,5.87,0.0,5.87,0.0,1.15,1.15,0,0.0,92.98
18974,28.5396685,77.1882297,8,3,8.0,1.81,9.81,7.03,8.81,15.84,0,0.0,74.35
18852,28.5396685,76.9384849,4,2,0.39,0.0,0.39,0.0,1.48,1.48,0,0.0,98.13
63469,28.8756369,77.1657117,84,1,22.0,0.0,22.0,0.35,13.49,13.84,0,0.0,64.16
55380,28.8145517,77.171853,5,0,4.42,0.0,4.42,0.0,7.24,7.24,0,0.0,88.34
20360,28.5504482,77.102252,13,0,2.49,0.0,2.49,0.11,11.43,11.54,0,0.0,85.97
22285,28.5648212,77.1452408,10,0,4.71,0.0,4.71,1.09,7.76,8.85,0,0.0,86.44
52777,28.7947889,77.2025593,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,41.71,58.29
46911,28.7516699,76.8873077,0,3,0.0,0.0,0.0,0.0,3.2,3.2,0,0.0,96.8
24790,28.584584,76.9139198,2,2,0.09,0.0,0.09,0.0,3.25,3.25,0,0.0,96.66
9030,28.4642103,77.2946783,22,3,25.73,1.18,26.91,0.0,10.97,10.97,0,0.0,62.12
43184,28.722924,77.0531218,35,0,7.16,0.0,7.16,0.29,6.04,6.33,0,0.0,86.51
23786,28.5756009,77.2946783,4,0,0.21,0.0,0.21,0.0,3.6,3.6,1,25.64,70.55
1830,28.4103117,77.171853,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
60142,28.8504841,77.1759471,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
17379,28.5288887,76.8463659,0,0,0.23,0.0,0.23,0.11,3.01,3.12,0,0.0,96.65
59371,28.8450943,77.0592631,1,0,0.1,0.0,0.1,0.0,2.65,2.65,0,0.0,97.25
2928,28.4192948,76.9835208,21,1,6.28,0.0,6.28,0.0,5.17,5.17,0,0.0,88.55
7303,28.451634,77.1698059,4,0,0.68,0.0,0.68,0.06,8.56,8.62,0,0.0,90.7
50711,28.7804159,76.870931,2,0,0.23,0.0,0.23,2.59,4.69,7.28,0,0.0,92.49
5513,28.4390576,76.9159669,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
4346,28.4300745,76.9630499,5,3,2.86,0.0,2.86,4.19,2.63,6.82,0,0.0,90.32
62769,28.870247,77.1943709,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
11132,28.4803799,77.2127947,0,0,0.0,0.0,0.0,0.0,6.85,6.85,0,0.0,93.15
26842,28.598957,77.2168889,23,1,21.48,1.79,23.27,0.46,7.19,7.65,0,0.0,69.08
30665,28.627703,77.2475952,4,0,1.62,0.0,1.62,35.75,5.17,40.92,0,0.0,57.46
10423,28.4749901,77.2230302,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
57291,28.8289247,77.1861826,1,0,5.08,0.0,5.08,0.0,0.0,0.0,0,0.0,94.92
30184,28.6241097,77.2373598,24,0,26.92,0.0,26.92,0.0,11.2,11.2,0,0.0,61.88
16510,28.5217023,77.0162742,13,3,1.48,0.0,1.48,0.0,6.57,6.57,0,0.0,91.95
58949,28.841501,77.1698059,9,0,1.1,0.0,1.1,0.0,2.3,2.3,0,0.0,96.6
28120,28.6097367,76.9098256,0,2,0.0,0.0,0.0,0.08,0.49,0.57,0,0.0,99.43
29169,28.6169232,77.1083932,12,3,24.42,3.73,28.15,1.26,8.97,10.23,0,0.0,61.62
54796,28.8109585,76.9507674,0,1,0.0,0.0,0.0,0.0,2.0,2.0,0,0.0,98.0
61884,28.8648571,76.8443188,1,1,0.25,0.0,0.25,0.0,0.0,0.0,0,0.0,99.75
57374,28.8307213,76.8688839,0,0,0.0,0.0,0.0,0.0,5.42,5.42,0,0.0,94.58
62117,28.8648571,77.3212904,1,0,0.09,0.0,0.09,0.0,7.89,7.89,1,0.93,91.09
29211,28.6169232,77.1943709,2,0,11.89,0.0,11.89,0.23,8.42,8.65,0,0.0,79.46000000000001
28969,28.6151266,77.1861826,0,0,0.0,0.0,0.0,0.0,4.38,4.38,0,0.0,95.62
51816,28.7876024,77.1841355,0,0,0.36,0.0,0.36,0.0,4.8,4.8,0,0.0,94.84
6220,28.4444475,76.9016373,0,2,0.0,0.0,0.0,0.0,1.32,1.32,0,0.0,98.68
14708,28.5073293,77.2250773,45,1,21.41,0.82,22.23,0.32,8.54,8.86,0,0.0,68.91
36917,28.6762118,76.8914018,9,2,2.63,0.0,2.63,2.44,3.72,6.16,0,0.0,91.21
43596,28.7265172,76.9221082,5,4,0.15,0.0,0.15,0.0,2.44,2.44,0,0.0,97.41
58427,28.8379078,77.0756398,22,2,5.75,0.0,5.75,0.0,7.34,7.34,0,0.0,86.91
15089,28.5109225,77.0306039,31,2,15.11,0.56,15.67,0.35,9.78,10.13,1,0.8099999999999999,73.39
21104,28.5558381,77.1636646,15,4,14.57,9.08,23.65,0.26,16.75,17.01,0,0.0,59.34
13656,28.5001428,77.0203684,15,1,4.6,0.95,5.55,0.4,10.36,10.76,0,0.0,83.69
63454,28.8756369,77.1350054,2,6,0.03,0.0,0.03,0.61,11.92,12.53,0,0.0,87.44
59429,28.8450943,77.1779942,3,0,0.32,0.0,0.32,0.36,7.11,7.47,0,0.0,92.21
64262,28.8828233,76.8402246,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
32375,28.642076,76.8504601,1,0,0.16,0.0,0.16,0.0,0.0,0.0,0,0.0,99.84
20199,28.5486516,77.2598778,23,2,11.32,5.51,16.83,9.77,7.24,17.01,0,0.0,66.16
46202,28.74628,76.8975431,1,2,0.14,0.0,0.14,0.04,3.86,3.9,0,0.0,95.96
8507,28.4606171,77.1984651,14,0,6.08,0.0,6.08,1.92,7.77,9.69,0,0.0,84.23
25842,28.5917705,77.1186287,21,0,14.24,0.0,14.24,0.0,6.46,6.46,0,0.0,79.3
51564,28.7858057,77.1554763,1,2,0.09,0.0,0.09,0.0,3.21,3.21,0,0.0,96.7
1785,28.4103117,77.079734,2,2,0.34,0.0,0.34,0.0,0.0,0.0,0,0.0,99.66
44151,28.7301104,77.0838282,27,6,10.93,1.37,12.3,5.29,13.52,18.81,0,0.0,68.89
50662,28.7786192,77.2578307,9,0,4.32,0.0,4.32,3.57,14.95,18.52,0,0.0,77.16
55076,28.8127551,77.0367451,0,0,0.0,0.0,0.0,1.84,14.76,16.6,1,3.53,79.87
13218,28.4965495,77.0981578,52,9,23.27,3.95,27.22,0.0,10.79,10.79,0,0.0,61.99
55714,28.8181449,76.8811664,0,0,0.0,0.0,0.0,0.0,0.22,0.22,0,0.0,99.78
56469,28.8235348,76.965097,2,1,0.37,0.0,0.37,0.0,0.0,0.0,0,0.0,99.63
29687,28.6205165,77.1943709,11,0,25.22,0.0,25.22,5.95,6.22,12.17,0,0.0,62.61
13704,28.5001428,77.1186287,0,2,0.0,0.0,0.0,0.0,3.07,3.07,0,0.0,96.93
53477,28.8001787,77.1739001,14,0,3.35,0.0,3.35,0.43,10.09,10.52,0,0.0,86.13
50587,28.7786192,77.104299,3,2,0.14,0.0,0.14,0.23,1.62,1.85,0,0.0,98.01
12922,28.4947529,76.9794266,3,1,0.68,0.0,0.68,0.0,2.29,2.29,0,0.0,97.03
50090,28.775026,77.0613102,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
38873,28.6905848,76.9978504,21,2,29.17,3.78,32.95,0.0,10.59,10.59,0,0.0,56.46
26870,28.598957,77.2742074,4,0,0.25,0.0,0.25,0.0,2.89,2.89,0,0.0,96.86
10987,28.4803799,76.9159669,4,10,1.65,0.0,1.65,8.19,10.99,19.18,1,0.5700000000000001,78.60000000000002
54750,28.8109585,76.8566013,0,0,0.0,0.0,0.0,0.0,0.24,0.24,0,0.0,99.76
57162,28.8289247,76.9221082,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
7502,28.4534306,77.0899694,38,6,13.71,2.37,16.080000000000002,0.1,14.57,14.67,1,5.45,63.8
30129,28.6241097,77.1247699,51,8,22.08,23.61,45.69,0.26,3.82,4.08,0,0.0,50.23
23397,28.5738043,76.9855679,7,4,0.72,0.0,0.72,0.73,2.87,3.6,0,0.0,95.68
31481,28.6348895,76.9691912,29,3,3.97,0.0,3.97,0.0,9.39,9.39,0,0.0,86.64
14788,28.5091259,76.9016373,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
55967,28.8199416,76.9118727,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
45291,28.7390936,76.9814737,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,99.0
46893,28.7516699,76.8504601,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
29056,28.6169232,76.8770722,4,2,2.9,0.0,2.9,0.0,1.8,1.8,0,0.0,95.3
11824,28.4857698,77.1677588,19,0,9.96,0.0,9.96,0.07,12.48,12.55,0,0.0,77.49
31834,28.6366861,77.2046064,21,6,16.77,5.12,21.89,0.0,10.08,10.08,0,0.0,68.03
44815,28.7355003,76.9814737,2,1,0.13,0.0,0.13,0.0,0.24,0.24,0,0.0,99.63
27047,28.6007536,77.149335,15,3,13.87,3.72,17.59,0.0,8.66,8.66,0,0.0,73.75
41939,28.7139408,76.940532,34,7,6.85,0.26,7.109999999999999,0.0,11.16,11.16,0,0.0,81.73
18456,28.5360752,77.102252,15,2,2.61,7.12,9.73,8.2,9.39,17.59,0,0.0,72.68
62095,28.8648571,77.2762545,50,1,25.0,0.44,25.44,0.03,10.99,11.02,0,0.0,63.540000000000006
16325,28.5199056,77.1247699,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
3739,28.4246846,77.1820884,1,0,0.08,0.0,0.08,0.0,0.0,0.0,0,0.0,99.92
26895,28.6007536,76.8381775,12,1,4.09,0.0,4.09,0.0,3.91,3.91,0,0.0,92.0
63410,28.8756369,77.0449335,0,0,0.09,0.0,0.09,0.11,3.6,3.71,0,0.0,96.2
61901,28.8648571,76.8791193,0,0,0.0,0.0,0.0,0.09,3.57,3.66,0,0.0,96.34
16961,28.5252955,76.965097,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
42951,28.7211273,77.0633573,34,2,13.69,0.5,14.19,0.37,9.83,10.2,0,0.0,75.61
17185,28.5270921,76.9364378,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
24124,28.5791942,77.0121801,23,0,5.96,0.0,5.96,0.33,8.48,8.81,0,0.0,85.23
23465,28.5738043,77.1247699,31,0,14.41,0.0,14.41,0.04,6.76,6.8,0,0.0,78.78999999999999
8735,28.4624137,77.1779942,33,0,14.67,0.0,14.67,0.0,7.4,7.4,0,0.0,77.93
63385,28.8756369,76.9937563,5,0,1.73,0.0,1.73,0.0,2.6,2.6,0,0.0,95.67
39309,28.694178,76.9159669,26,2,33.92,1.68,35.6,0.5,13.2,13.7,0,0.0,50.7
52303,28.7911956,77.2066535,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
26862,28.598957,77.2578307,3,2,1.49,0.0,1.49,24.51,13.4,37.91,0,0.0,60.6
51798,28.7876024,77.1472879,4,3,5.41,0.6,6.01,0.0,3.97,3.97,0,0.0,90.02
43817,28.7283138,76.8873077,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
39960,28.6977712,77.2742074,41,6,26.35,1.93,28.28,0.07,13.45,13.52,0,0.0,58.2
41883,28.7121442,77.3131021,43,3,40.32,2.36,42.68,0.0,5.28,5.28,0,0.0,52.04
49409,28.7696361,77.1288641,41,3,5.92,0.7,6.62,0.23,9.39,9.62,0,0.0,83.76
58643,28.8397044,77.0306039,13,0,6.47,0.0,6.47,0.22,6.63,6.85,0,0.0,86.68
48865,28.7660429,76.9896621,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
20264,28.5504482,76.9057315,13,2,4.27,0.0,4.27,0.18,1.97,2.15,0,0.0,93.58
28235,28.6097367,77.1452408,24,0,10.07,0.0,10.07,0.07,11.33,11.4,0,0.0,78.53
39690,28.6959746,77.2087006,13,2,19.25,1.07,20.32,3.02,9.7,12.72,1,14.07,52.89
60956,28.8576706,76.8934489,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
22498,28.5666178,77.0940636,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
43892,28.7283138,77.0408393,33,5,14.17,3.81,17.98,1.89,9.86,11.75,1,6.17,64.1
