grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty,building_density_norm,yellow_building_density_norm,total_building_density_norm,local_road_density_norm,total_road_density_norm,empty_norm,water_percent_norm,grid_score_raw,grid_score,grid_segment,grid_score_pca,grid_score_entropy,kmeans_cluster,grid_segment_kmeans
18787,28.5378719,77.2926312,17,2,16.19,1.8,17.990000000000002,5.13,11.04,16.17,0,0.0,65.84,0.3200774986902326,0.1035375323554789,0.29849012775842054,0.5454275974507189,0.5801625316183199,0.5455724576468476,0.0,0.19719466758888296,39.19,neutral,38.59,9.9,1,good
15522,28.5145158,76.9425791,0,0,0.0,0.0,0.0,0.07,1.35,1.42,0,0.0,98.58,0.0,0.0,0.0,0.06669630947087596,0.05094810110686543,0.9811098621152962,0.0,-0.08555913473555496,10.97,bad,2.31,0.47,0,bad
8682,28.4624137,77.0694985,5,3,0.76,0.46,1.22,1.8,17.11,18.91,0,0.0,79.87,0.01502525626958473,0.02645959160195572,0.020242243238758922,0.84531396670125,0.6784708393879052,0.7322123411133209,0.0,0.10121781873510945,29.61,neutral,31.15,6.51,0,bad
34576,28.6582456,76.9712383,2,5,0.14,0.0,0.14,9.32,8.92,18.24,1,0.97,80.65,0.002767810365449819,0.0,0.00232288037166086,0.4406896892446026,0.6544319466121306,0.7425886140359046,1.0,-0.074509570057765,12.07,bad,22.64,5.33,0,bad
49529,28.7714328,76.8873077,0,0,0.0,0.0,0.0,0.0,3.06,3.06,0,0.0,96.94,0.0,0.0,0.0,0.15117830146731884,0.10978956999085086,0.959293083149864,0.0,-0.06776308459534604,12.74,bad,5.1,1.05,0,bad
24342,28.5809908,76.9712383,0,6,0.0,0.0,0.0,0.43,7.11,7.54,0,0.0,92.46,0.0,0.0,0.0,0.35126722987994674,0.2705272410885672,0.899696028415024,0.0,-0.02375315630508204,17.14,bad,12.2,2.49,0,bad
15368,28.5127191,77.1145345,44,0,9.71,0.0,9.71,0.06,5.12,5.18,0,0.0,85.11,0.19196741891798388,0.0,0.16110834577733538,0.25295192925250737,0.18585293220673446,0.801919610490678,0.0,0.031146164256374537,22.62,bad,16.97,4.58,0,bad
58512,28.8379078,77.2496423,0,0,0.0,0.0,0.0,0.0,3.02,3.02,0,0.0,96.98,0.0,0.0,0.0,0.14920211452003362,0.10835441221319268,0.9598251997099964,0.0,-0.06818448218233497,12.7,bad,5.03,1.04,0,bad
11121,28.4803799,77.1902768,10,2,6.86,0.63,7.49,0.0,1.81,1.81,0,0.0,90.7,0.13562270790704112,0.036238136324417615,0.124274099883856,0.08942245936465591,0.0649408894390327,0.8762828997691943,0.0,-0.013763348737798248,18.13,bad,9.67,2.9,0,bad
30491,28.627703,76.8914018,0,2,0.0,0.0,0.0,0.0,3.69,3.69,1,2.28,94.03,0.0,0.0,0.0,0.18230324588706096,0.13239330498896723,0.9205816034002249,1.0,-0.15809300820751498,3.72,bad,6.48,3.96,0,bad
